"status_id","created_at","user_id","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords"
"x970132007211687936",2018-03-04 03:01:09,"x2685778339","IonexxCo","ION7 - #NanoSilver for #Life

https://t.co/tfNxqvI8rH

#ColloidalSilver
#health #healthcare #treatyoself #lifestyle #holistic #selfcare #Healing #flu #flu2018 #travel #influenza #biotech #HealthTips #globalhealth #wellbeing #Saturday #medicine #menshealth #repost #rt #family #ad","Crowdfire - Go Big",279,,,,FALSE,FALSE,0,0,"NanoSilver Life ColloidalSilver health healthcare treatyoself lifestyle holistic selfcare Healing flu flu2018 travel influenza biotech HealthTips globalhealth wellbeing Saturday medicine menshealth repost rt family ad",,"crwd.fr/2FaSWtD","https://t.co/tfNxqvI8rH","http://crwd.fr/2FaSWtD",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"x970131817960542208",2018-03-04 03:00:24,"x169149787","cknxnews","Flu outbreak declared over at Stratford Hospital  https://t.co/AVvVSwJ23W https://t.co/H07Imhtbex","Hootsuite",73,,,,FALSE,FALSE,0,0,,,"blackburnnews.com/midwestern-ont…","https://t.co/AVvVSwJ23W","http://blackburnnews.com/midwestern-ontario/midwestern-ontario-news/2018/03/03/influenza-outbreak-stratford-hospital-declared","http://pbs.twimg.com/media/DXaZvykXkAAyqxX.jpg","https://t.co/H07Imhtbex","https://twitter.com/cknxnews/status/970131817960542208/photo/1","photo","http://pbs.twimg.com/media/DXaZvykXkAAyqxX.jpg","https://t.co/H07Imhtbex","https://twitter.com/cknxnews/status/970131817960542208/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"x970130777412374528",2018-03-04 02:56:16,"x2895024641","melissa_bken","I think more people need to be aware of the fact that hand sanitizers don’t kill viruses and influenza (the flu) is a virus.","Twitter for iPhone",124,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"x970122445972676609",2018-03-04 02:23:09,"x1686617028","Johnrockdoc","RT @picardonhealth: Flu activity slowly decreasing, @PHAC_GC reports https://t.co/iFpEKkeABp via @CBCHealth @epaultaylor #Influenza","Twitter for iPhone",131,,,,FALSE,TRUE,0,3,"Influenza",,"cbc.ca/news/health/fl…","https://t.co/iFpEKkeABp","http://www.cbc.ca/news/health/flu-children-1.4560066",,,,,,,,,"x252794509 16341166 18999585 726103488","picardonhealth PHAC_GC CBCHealth epaultaylor","en",,,,,,,,,,,,,,,,"x970065583965433856","Flu activity slowly decreasing, @PHAC_GC reports https://t.co/iFpEKkeABp via @CBCHealth @epaultaylor #Influenza",2018-03-03 22:37:12,,4,"x252794509","picardonhealth","André Picard",70525,1504,93774,"Montréal","André Picard is the health columnist at The Globe and Mail. I tweet and RT about health issues, running and journalism. RTs not endorsements, etc.",TRUE,,,,,,,,,
"x970118811742560257",2018-03-04 02:08:43,"x836315903482527744","stevekemple_inc","On page 489 of 1168 of The Great Influenza, by John M.","Steve Kemple Incorporated",54,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"x970118375493038080",2018-03-04 02:06:59,"x1182761232","DrCChambers","RT @picardonhealth: Why All Children Should Have to Get the Flu Shot https://t.co/ZoFtr1hWHd via @nytimes @doritmi #vaccination #influenza","Twitter for iPad",138,,,,FALSE,TRUE,0,14,"vaccination influenza",,"nytimes.com/2018/03/01/opi…","https://t.co/ZoFtr1hWHd","https://www.nytimes.com/2018/03/01/opinion/children-mandatory-flu-shot.html",,,,,,,,,"x252794509 807095 54886540","picardonhealth nytimes doritmi","en",,,,,,,,,,,,,,,,"x969568042765242368","Why All Children Should Have to Get the Flu Shot https://t.co/ZoFtr1hWHd via @nytimes @doritmi #vaccination #influenza",2018-03-02 13:40:09,,11,"x252794509","picardonhealth","André Picard",70525,1504,93774,"Montréal","André Picard is the health columnist at The Globe and Mail. I tweet and RT about health issues, running and journalism. RTs not endorsements, etc.",TRUE,,,,,,,,,
"x970117395107991553",2018-03-04 02:03:05,"x2310242863","EmileeLufkin","the biggest mistake this weekend was going to the cities with what I thought was a cold, turns out it's influenza #sorryeveryone","Twitter for iPhone",128,,,,FALSE,FALSE,0,0,"sorryeveryone",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://api.twitter.com/1.1/geo/id/9807c5c5f7a2c6ce.json","Minnesota","Minnesota, USA","admin","United States","US",,,"-97.239256 -89.483385 -89.483385 -97.239256 43.499362 43.499362 49.384359 49.384359"
"x970114424982982656",2018-03-04 01:51:17,"x2224036794","JanaeKinlee","Having influenza fucking sucks just when I start to actually feel better it comes back and says hi remember me like no I want to feel better go away","Twitter for iPhone",148,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"x970112939444318208",2018-03-04 01:45:23,"x19523238","meeterica","The best thing about being prescribed steroids for my influenza and bronchitis is that I feel like I can do ANYTHING. 
The worst thing about being prescribed steroids is that I feel like I can do ANYTHING, and it's not REALLY how my body feels.","Twitter Web Client",244,,,,FALSE,FALSE,4,0,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"x970111860820332546",2018-03-04 01:41:06,"x825976920609288192","EHFoundation237","RT @Ionexx_RD: ION7 - #NanoSilver for #Life

https://t.co/gb2KCAFCvw

#ColloidalSilver
#health #healthcare #treatyoself #lifestyle #menshea…"," Ethereal Heart",140,,,,FALSE,TRUE,0,2,"NanoSilver Life ColloidalSilver health healthcare treatyoself lifestyle",,"crwd.fr/2Fcoy24","https://t.co/gb2KCAFCvw","http://crwd.fr/2Fcoy24",,,,,,,,,"x930601886490619904","Ionexx_RD","en",,,,,,,,,,,,,,,,"x970110217957625856","ION7 - #NanoSilver for #Life

https://t.co/gb2KCAFCvw

#ColloidalSilver
#health #healthcare #treatyoself #lifestyle #menshealth #selfcare #Healing #flu #flu2018 #travel #influenza #HealthTech #HealthTip #globalhealth #wellness #Saturday #medicine #womenshealth #repost #repost #rt",2018-03-04 01:34:34,,2,"x930601886490619904","Ionexx_RD","Ben Pate",916,1056,741,"San Antonio","Director of R&D at IONEXX. We are the world leader with innovations in Ultrasonic Nano Silver Generator & EquaFlow v2 Water Filters.",FALSE,,,,,,,,,
